LocationCode,Region,Season,DOC_mg_L,SR,HIX,FI,C1_pct,C2_pct,C3_pct,Pasture_pct,Crop_pct,Forest_pct,Urban_pct,Water_pct
23,Pantanal,Wet Season,3.037556633,1.026666667,5.56,1.486666667,43.68988346,27.17223556,29.13788098,52.96484695,7.26183129,35.86184728,2.182362292,1.72911219
24,Pantanal,Wet Season,3.137878667,1.02,6.286666667,1.48,44.35954699,24.78385271,30.8566003,52.94446368,7.300762321,35.78592514,2.209005047,1.759843816
24,Pantanal,Dry Season,1.381166667,1.323333333,2.453333333,1.55,56.78345155,36.2441444,6.972404054,52.94446368,7.300762321,35.78592514,2.209005047,1.759843816
25,Pantanal,Wet Season,3.6089186,1.05,7.113333333,1.47,43.21744854,24.61432759,32.16822387,51.60442824,7.591103075,37.01338109,2.15107995,1.64000765
25,Pantanal,Dry Season,1.20894,1.516666667,2.85,1.553333333,44.3990107,30.00855499,25.59243432,51.60442824,7.591103075,37.01338109,2.15107995,1.64000765
26,Pantanal,Dry Season,2.388692667,1.183333333,2.09,1.43,56.1685955,35.62916173,8.202242776,51.58309988,7.591867125,37.03152202,2.150205955,1.643305022
26,Pantanal,Wet Season,5.632581933,0.79,13.92333333,1.493333333,44.12951813,26.25810284,29.61237903,51.58309988,7.591867125,37.03152202,2.150205955,1.643305022
27,Pantanal,Dry Season,1.290747667,1.49,2.323333333,1.553333333,57.12353865,35.5027261,7.373735255,51.09089752,7.69942165,37.42660122,2.117030356,1.666049253
27,Pantanal,Wet Season,4.1514326,1.026666667,7.31,1.496666667,44.91787537,29.9569294,25.12519523,51.09089752,7.69942165,37.42660122,2.117030356,1.666049253
28,Pantanal,Dry Season,1.316581667,1.52,1.856666667,1.546666667,56.46940123,37.00679683,6.523801939,51.08041776,7.699807945,37.4334657,2.116997104,1.66931149
28,Pantanal,Wet Season,4.2405599,1.04,6.126666667,1.493333333,49.76671593,28.58846252,21.64482156,51.08041776,7.699807945,37.4334657,2.116997104,1.66931149
29,Pantanal,Wet Season,4.0493883,1.033333333,6.07,1.496666667,43.22493304,28.14561812,28.62944885,23.94226965,8.984734117,58.66867057,0.57255246,7.831773201
29,Pantanal,Dry Season,1.251996667,1.353333333,1.933333333,1.603333333,54.09886588,35.62395378,10.27718034,23.94226965,8.984734117,58.66867057,0.57255246,7.831773201
30,Pantanal,Wet Season,4.290505633,0.926666667,12.09666667,1.486666667,47.74699231,28.61461735,23.63839033,33.88316822,8.394033015,56.71031675,0.583597711,0.428884299
30,Pantanal,Dry Season,3.822479667,1.12,3.073333333,1.413333333,54.23921614,35.40842464,10.35235922,33.88316822,8.394033015,56.71031675,0.583597711,0.428884299
31,Pantanal,Dry Season,2.117435667,0.876666667,4.036666667,1.48,52.19001963,33.70651632,14.10346404,40.9344429,4.024576256,54.47619252,0.279025036,0.285763291
31,Pantanal,Wet Season,7.353126333,0.803333333,18.21666667,1.49,39.71762651,24.70590841,35.57646508,40.9344429,4.024576256,54.47619252,0.279025036,0.285763291
32,Pantanal,Dry Season,1.239079667,1.583333333,1.67,1.553333333,49.02550589,32.21325323,18.76124088,48.18989911,7.853600602,40.23955531,1.906164415,1.810780558
32,Pantanal,Wet Season,4.0829725,1.023333333,6.22,1.503333333,41.8085834,26.58481873,31.60659787,48.18989911,7.853600602,40.23955531,1.906164415,1.810780558
33,Pantanal,Wet Season,4.839047567,0.86,12.71666667,1.533333333,45.24290753,26.39890393,28.35818854,46.58826827,7.53711675,42.36333038,1.775410436,1.735874171
33,Pantanal,Dry Season,1.686869,1.48,2.193333333,1.533333333,54.33179364,35.01358,10.65462636,46.58826827,7.53711675,42.36333038,1.775410436,1.735874171
34,Pantanal,Wet Season,5.0104131,0.873333333,11.51666667,1.54,47.12138344,28.5905862,24.28803036,46.53908216,7.532965305,42.41385641,1.773918264,1.74017786
34,Pantanal,Dry Season,1.661035,1.576666667,2.886666667,1.5,49.87213472,33.29626044,16.83160484,46.53908216,7.532965305,42.41385641,1.773918264,1.74017786
35,Pantanal,Dry Season,3.546917,1.586666667,3.64,1.633333333,53.85591195,36.93007639,9.214011661,9.62466025,2.824098828,86.34568685,0.036202825,1.169351245
35,Pantanal,Wet Season,5.094804167,0.843333333,15.94333333,1.526666667,41.97274942,24.27389748,33.7533531,9.62466025,2.824098828,86.34568685,0.036202825,1.169351245
36,Pantanal,Dry Season,2.599670333,1.503333333,3.05,1.563333333,52.766457,37.31272167,9.920821331,10.02075004,0.605631189,89.31626094,0.005482734,0.051875095
36,Pantanal,Wet Season,5.6859722,0.846666667,14.64,1.536666667,36.96817456,25.35897673,37.67284871,10.02075004,0.605631189,89.31626094,0.005482734,0.051875095
37,Pantanal,Wet Season,5.205890367,0.863333333,12.995,1.53,48.1744705,32.17189178,19.65363772,45.16228571,7.29826444,44.11359192,1.711059369,1.714798557
37,Pantanal,Dry Season,1.738537,1.533333333,2.94,1.48,55.35822605,37.94511647,6.69665748,45.16228571,7.29826444,44.11359192,1.711059369,1.714798557
38,Pantanal,Wet Season,5.940867667,0.846666667,17.59333333,1.526666667,36.94479217,24.79629775,38.25891009,NA,NA,NA,NA,NA
38,Pantanal,Dry Season,5.609331333,1.716666667,3.233333333,1.633333333,52.55334064,35.21063623,12.23602313,NA,NA,NA,NA,NA
39,Pantanal,Dry Season,4.020540333,1.516666667,4.736666667,1.583333333,51.14216745,33.96661451,14.89121804,18.84682799,1.155497961,79.96943039,0.005814871,0.022428789
39,Pantanal,Wet Season,9.294982,0.836666667,18.53,1.543333333,41.44293866,25.68926848,32.86779286,18.84682799,1.155497961,79.96943039,0.005814871,0.022428789
40,Pantanal,Wet Season,9.5326548,0.84,20.14333333,1.52,39.1300454,27.27608841,33.59386618,NA,NA,NA,NA,NA
