timestamp,co2_1,co2_2,ph1,gs3_1_temp,gs3_1_ec,gs3_2_temp,gs3_2_ec
4/27/17 10:09,1459.408976,1416.001103,6.16389,8.3,11,8.5,8
4/27/17 10:09,1483.394969,1428.826507,6.133376,8.3,11,8.5,8
4/27/17 10:09,1518.964715,1416.001103,6.130324,8.3,11,8.5,8
4/27/17 10:10,1547.998416,1395.479512,6.148633,8.3,11,8.5,8
4/27/17 10:10,1579.860825,1403.174755,6.160839,8.3,11,8.5,8
4/27/17 10:10,1584.912067,1398.044593,6.136427,8.3,12,8.5,8
4/27/17 10:10,1555.365947,1398.054027,6.151681,8.3,11,8.5,8
4/27/17 10:10,1517.990081,1405.749269,6.133372,8.3,11,8.5,9
4/27/17 10:10,1531.106993,1416.010537,6.154732,8.3,11,8.5,8
4/27/17 10:10,1570.268917,1423.705779,6.130321,8.3,11,8.5,8
4/27/17 10:10,1569.00524,1377.482047,6.142526,8.3,11,8.5,8
4/27/17 10:10,1550.056581,1318.5318,6.139475,8.3,11,8.5,8
4/27/17 10:10,1534.40801,1290.266824,6.136423,8.3,12,8.5,8
4/27/17 10:10,1525.075866,1303.146975,6.142523,8.3,11,8.5,8
4/27/17 10:10,1489.426077,1350.604274,6.118111,8.3,11,8.5,8
4/27/17 10:11,1486.425859,1406.988361,6.151678,8.3,11,8.5,8
4/27/17 10:11,1465.423637,1449.31395,6.124214,8.3,12,8.5,8
4/27/17 10:11,1544.012274,1469.83479,6.145575,8.3,12,8.5,8
4/27/17 10:11,1565.988024,1467.323476,6.157781,8.3,11,8.5,8
4/27/17 10:11,1597.759677,1459.573899,6.163884,8.3,10,8.5,9
4/27/17 10:11,1607.143229,1464.710476,6.145573,8.3,11,8.5,8
4/27/17 10:11,1621.03098,1482.667273,6.130315,8.3,11,8.5,8
4/27/17 10:11,1571.794277,1475.025323,6.16083,8.3,11,8.5,8
4/27/17 10:11,1510.68422,1469.841394,6.148624,8.3,11,8.5,8
4/27/17 10:11,1505.855743,1487.851671,6.136418,8.3,11,8.5,8
4/27/17 10:11,1560.943284,1487.851671,6.145573,8.3,11,8.5,8
4/27/17 10:11,1597.568037,1457.015515,6.16083,8.3,11,8.5,8
4/27/17 10:12,1591.999117,1418.542595,6.142519,8.3,11,8.5,7
4/27/17 10:12,1573.57789,1395.50687,6.145571,8.3,11,8.5,8
4/27/17 10:12,1556.12349,1392.941789,6.154725,8.3,12,8.5,8
4/27/17 10:12,1524.810906,1398.072894,6.121159,8.3,11,8.5,8
4/27/17 10:12,1507.907104,1427.520521,6.136416,8.3,11,8.5,8
4/27/17 10:12,1497.803692,1457.020232,6.118107,8.3,11,8.5,7
4/27/17 10:12,1496.541346,1469.846111,6.139468,8.3,11,8.5,7
4/27/17 10:12,1511.696,1469.846111,6.142519,8.3,11,8.5,8
4/27/17 10:12,1545.027888,1451.894031,6.151672,8.3,11,8.5,7
4/27/17 10:12,1590.740899,1464.71991,6.148621,8.3,11,8.5,7
4/27/17 10:12,1589.243593,1480.110776,6.136415,8.3,11,8.5,9
4/27/17 10:12,1554.638985,1467.284897,6.157775,8.3,11,8.5,9
4/27/17 10:13,1522.759791,1449.329044,6.136415,8.3,11,8.5,8
4/27/17 10:13,1527.341978,1444.19907,6.12726,8.3,11,8.5,8
4/27/17 10:13,1526.855298,1439.120793,6.136415,8.3,11,8.5,7
4/27/17 10:13,1524.027578,1433.941008,6.133362,8.3,11,8.5,8
4/27/17 10:13,1508.682822,1444.254729,6.16998,8.3,12,8.5,8
4/27/17 10:13,1510.441085,1454.462791,6.142516,8.3,11,8.5,8
4/27/17 10:13,1535.195465,1451.950915,6.145568,8.3,11,8.5,7
4/27/17 10:13,1541.241501,1425.015207,6.145568,8.3,11,8.5,9
4/27/17 10:13,1574.849525,1398.028358,6.154723,8.3,12,8.5,7
4/27/17 10:13,1609.460575,1407.057753,6.14862,8.3,11,8.5,8
4/27/17 10:13,1594.303878,1405.726149,6.166928,8.3,10,8.5,8
4/27/17 10:13,1571.063416,1395.465257,6.121155,8.3,11,8.5,8
4/27/17 10:14,1564.468492,1392.90027,6.133361,8.3,11,8.5,8
4/27/17 10:14,1571.279195,1395.465257,6.154722,8.3,12,8.5,8
4/27/17 10:14,1589.742436,1403.161162,6.15167,8.3,11,8.5,9
4/27/17 10:14,1562.972825,1403.161162,6.163876,8.3,12,8.5,8
4/27/17 10:14,1525.098152,1437.738682,6.145567,8.3,11,8.5,8
4/27/17 10:14,1556.406561,1495.510132,6.148618,8.3,11,8.5,8
4/27/17 10:14,1581.672678,1485.19438,6.160824,8.3,11,8.5,8
4/27/17 10:14,1544.543933,1439.075699,6.163876,8.3,11,8.5,8
4/27/17 10:14,1515.496971,1431.433098,6.145566,8.3,11,8.5,9
4/27/17 10:14,1526.863658,1454.413784,6.118102,8.3,11,8.5,7
4/27/17 10:14,1548.826354,1482.629487,6.136412,8.3,11,8.5,8
4/27/17 10:14,1539.729485,1474.933867,6.142515,8.3,12,8.5,7
4/27/17 10:15,1530.653483,1469.805969,6.145566,8.3,11,8.5,8
4/27/17 10:15,1475.864235,1492.947032,6.151669,8.3,11,8.5,8
4/27/17 10:15,1487.986399,1549.324236,6.151669,8.3,11,8.5,8
4/27/17 10:15,1480.413652,1580.105774,6.148617,8.3,11,8.5,8
4/27/17 10:15,1502.550488,1569.845262,6.142514,8.3,11,8.5,9
4/27/17 10:15,1516.762104,1564.714534,6.163875,8.3,11,8.5,8
4/27/17 10:15,1495.559147,1541.685561,6.176081,8.3,12,8.5,9
4/27/17 10:15,1517.52656,1495.512019,6.148617,8.3,11,8.5,8
4/27/17 10:15,1533.888961,1487.76706,6.139462,8.3,11,8.5,8
4/27/17 10:15,1564.187399,1480.072098,6.145565,8.3,11,8.5,8
4/27/17 10:15,1611.055998,1451.908463,6.142514,8.3,11,8.5,7
4/27/17 10:15,1643.722541,1428.769526,6.145565,8.3,11,8.5,8
4/27/17 10:16,1665.731005,1446.778301,6.163875,8.3,11,8.5,8
4/27/17 10:16,1682.859145,1469.811207,6.166926,8.3,11,8.5,7
4/27/17 10:16,1651.102466,1490.332047,6.169978,8.3,11,8.5,7
4/27/17 10:16,1609.104874,1487.832803,6.148616,8.3,11,8.5,8
4/27/17 10:16,1600.270621,1480.137561,6.139462,8.3,11,8.5,8
4/27/17 10:16,1596.793137,1503.224233,6.139462,8.3,11,8.5,8
4/27/17 10:16,1567.457548,1521.068913,6.154719,8.3,11,8.5,7
4/27/17 10:16,1538.682554,1499.321294,6.130307,8.3,11,8.5,9
4/27/17 10:16,1563.449399,1474.898021,6.148616,8.3,11,8.5,8
4/27/17 10:16,1625.849357,1467.25754,6.157771,8.3,11,8.5,8
4/27/17 10:16,1659.967721,1449.310177,6.148616,8.3,11,8.5,8
4/27/17 10:16,1658.89451,1442.897237,6.151668,8.3,11,8.5,8
4/27/17 10:17,1634.180715,1490.352801,6.133358,8.3,11,8.5,8
4/27/17 10:17,1599.558637,1536.525399,6.130307,8.3,12,8.5,8
4/27/17 10:17,1554.108658,1546.786291,6.130307,8.3,11,8.5,8
